Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pick_table_base_link,-1.8874E-15,0.00024765,0.17551,0,0,0,7.6559,0.19996,4.867E-16,1.5744E-15,0.16004,6.6394E-05,0.11665,0,0,0,0,0,0,package://pick_table_urdf/meshes/pick_table_base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pick_table_urdf/meshes/pick_table_base_link.STL,,L_PICK_1-1;L_PICK_2-1;L_PICK_3-1;L_PICK_4-1;M_PICK_1-1;M_PICK_2-1;M_PICK_3-1;M_PICK_4-1;S_PICK_4-1;S_PICK_3-1;S_PICK_2-1;S_PICK_1-1;table2-1,PICK_TABLE_BASE_FRAME,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_pick_1_link,-1.11022302462516E-16,0,-0.0015,0,0,0,0.00376991118430776,3.79818551819006E-07,-1.50463276905253E-36,2.18556993607744E-40,3.79818551819006E-07,2.86985925493726E-40,7.53982236861551E-07,0,0,0,0,0,0,package://pick_table_urdf/meshes/l_pick_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pick_table_urdf/meshes/l_pick_1_link.STL,,L_PICK_1-1,L_PICK_1,,"l_pick_1_joint  ",fixed,-0.12,0.2005,0.3525,0,0,0,pick_table_base_link,0,0,0,,,,,,,,,,,,
l_pick_2_link,0,-2.77555756156289E-17,-0.0015,0,0,0,0.00376991118430776,3.79818551819006E-07,2.15066959263817E-24,-1.32348898008484E-24,3.79818551819006E-07,-2.25758770713994E-38,7.53982236861551E-07,0,0,0,0,0,0,package://pick_table_urdf/meshes/l_pick_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pick_table_urdf/meshes/l_pick_2_link.STL,,L_PICK_2-1,L_PICK_2,,"l_pick_2_joint  ",fixed,-0.04,0.2005,0.3525,0,0,0,pick_table_base_link,0,0,0,,,,,,,,,,,,
l_pick_3_link,0,-2.77555756156289E-17,-0.0015,0,0,0,0.00376991118430776,3.79818551819006E-07,-5.1946942468331E-23,1.32348898008486E-24,3.79818551819006E-07,-1.32348898008483E-24,7.53982236861551E-07,0,0,0,0,0,0,package://pick_table_urdf/meshes/l_pick_3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pick_table_urdf/meshes/l_pick_3_link.STL,,L_PICK_3-1,L_PICK_3,,"l_pick_3_joint  ",fixed,0.04,0.2005,0.3525,0,0,0,pick_table_base_link,0,0,0,,,,,,,,,,,,
l_pick_4_link,-2.22044604925031E-16,0,-0.0015,0,0,0,0.00376991118430776,3.79818551819006E-07,4.18553389951835E-23,4.15867755759411E-40,3.79818551819006E-07,-1.79366203433571E-40,7.53982236861551E-07,0,0,0,0,0,0,package://pick_table_urdf/meshes/l_pick_4_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pick_table_urdf/meshes/l_pick_4_link.STL,,L_PICK_4-1,L_PICK_4,,"l_pick_4_joint  ",fixed,0.12,0.2005,0.3525,0,0,0,pick_table_base_link,0,0,0,,,,,,,,,,,,
m_pick_1_link,-1.11022302462516E-16,-2.71050543121376E-18,-0.00150000000000006,0,0,0,0.00212057504117311,1.20872777346867E-07,-4.63221143029688E-24,4.13590306276311E-26,1.20872777346867E-07,1.32348898008485E-24,2.38564692131975E-07,0,0,0,0,0,0,package://pick_table_urdf/meshes/m_pick_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pick_table_urdf/meshes/m_pick_1_link.STL,,M_PICK_1-1,M_PICK_1,,"m_pick_1_joint  ",fixed,-0.12,0.0005,0.3525,0,0,0,pick_table_base_link,0,0,0,,,,,,,,,,,,
m_pick_2_link,-1.11022302462516E-16,-8.67361737988404E-19,-0.00150000000000006,0,0,0,0.00212057504117311,1.20872777346867E-07,5.95570041038165E-24,6.61744490042423E-25,1.20872777346867E-07,9.42238131884332E-39,2.38564692131975E-07,0,0,0,0,0,0,package://pick_table_urdf/meshes/m_pick_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pick_table_urdf/meshes/m_pick_2_link.STL,,M_PICK_2-1,M_PICK_2,,"m_pick_2_joint  ",fixed,-0.04,0.0005,0.3525,0,0,0,pick_table_base_link,0,0,0,,,,,,,,,,,,
m_pick_3_link,-1.95156391047391E-18,-1.11022302462516E-16,-0.00150000000000006,0,0,0,0.00212057504117311,1.20872777346867E-07,0,4.27780360058115E-40,1.20872777346867E-07,-9.22037316782624E-41,2.38564692131975E-07,0,0,0,0,0,0,package://pick_table_urdf/meshes/m_pick_3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pick_table_urdf/meshes/m_pick_3_link.STL,,M_PICK_3-1,M_PICK_3,,"m_pick_3_joint  ",fixed,0.04,0.0005,0.3525,0,0,1.5708,pick_table_base_link,0,0,0,,,,,,,,,,,,
m_pick_4_link,0,-2.38524477946811E-18,-0.00150000000000006,0,0,0,0.00212057504117311,1.20872777346867E-07,-4.50813433841385E-24,6.61744490042441E-25,1.20872777346867E-07,-1.32348898008484E-24,2.38564692131975E-07,0,0,0,0,0,0,package://pick_table_urdf/meshes/m_pick_4_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pick_table_urdf/meshes/m_pick_4_link.STL,,M_PICK_4-1,M_PICK_4,,"m_pick_4_joint  ",fixed,0.12,0.0005,0.3525,0,0,0,pick_table_base_link,0,0,0,,,,,,,,,,,,
s_pick_1_link,0,2.77555756156289E-17,-0.0015,0,0,0,0.000942477796076938,2.42688032489812E-08,6.04875822929345E-25,3.30872245021211E-25,2.42688032489812E-08,4.99871364475451E-39,4.71238898038469E-08,0,0,0,0,0,0,package://pick_table_urdf/meshes/s_pick_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pick_table_urdf/meshes/s_pick_1_link.STL,,S_PICK_1-1,S_PICK_1,,"s_pick_1_joint  ",fixed,-0.12,-0.1995,0.3525,0,0,0,pick_table_base_link,0,0,0,,,,,,,,,,,,
